1,2,3,4,5,6
sphere3D_-10.2_-31.1_32.5_113.0_285.csv,1360,285,0.0095698,0.0098342,0.0198909
sphere3D_-10.3_4.0_-18.7_17.0_649.csv,3092,649,0.0504215,0.0514216,0.0617554
sphere3D_-10.4_20.5_2.5_176.0_1078.csv,5136,1078,0.200572,0.2038429,0.2127613
sphere3D_-11.2_-11.2_-50.8_141.0_757.csv,3607,757,0.0628684,0.06396,0.0736725
sphere3D_-11.2_41.0_27.2_22.0_326.csv,1557,326,0.0146704,0.0150654,0.0262181
sphere3D_-11.3_12.2_-6.6_82.0_645.csv,3073,645,0.0335965,0.034317,0.0445055
sphere3D_-16.8_11.5_-5.2_40.0_1110.csv,5287,1110,0.1501058,0.1518869,0.1766857
sphere3D_-17.1_-30.6_-6.4_115.0_670.csv,3191,670,0.0351074,0.0358391,0.0460084
sphere3D_-2.8_12.4_6.2_153.0_914.csv,4353,914,0.0902646,0.0908762,0.0999471
sphere3D_-2.8_34.9_-15.8_28.0_212.csv,1011,212,0.0068719,0.0071703,0.0176729
sphere3D_-2.9_-10.7_19.5_37.0_1090.csv,5194,1090,0.1210696,0.1222766,0.1329141
sphere3D_-20.8_-48.1_-23.8_54.0_432.csv,2061,432,0.0296243,0.0300019,0.0406125
sphere3D_-23.1_-4.2_-51.5_5.0_1079.csv,5142,1079,2.9831063,2.9854721,2.9878379
sphere3D_-24.6_56.4_33.4_106.0_53.csv,254,53,0.0005778,0.000594,0.0101419
sphere3D_-24.7_58.0_46.1_38.0_265.csv,1265,265,0.0104498,0.0106129,0.0211006
sphere3D_-27.8_-24.1_18.1_196.0_581.csv,2770,581,0.0847629,0.08658245,0.0980898
sphere3D_-28.3_53.7_44.0_106.0_322.csv,1535,322,0.0179451,0.01810495,0.0274101
sphere3D_-30.2_27.2_39.0_81.0_223.csv,1064,223,0.0059986,0.00613435,0.0167591
sphere3D_-33.8_-7.5_-8.3_40.0_1096.csv,5220,1096,0.1503842,0.1517678,0.1604241
sphere3D_-34.4_17.1_-28.5_187.0_440.csv,2099,440,0.028465,0.02928125,0.0444926
